YEAR_ID,SEM_ID,STD_NO,COURSE_ID,COURSE_EDESC,AVG
2022,2,328644,13477,Software Engineering,61.0
2022,2,328644,14466,Business Intelligence,55.0
2022,2,328644,14469,Special Topic In Data Science and AI (2),66.0
2022,2,328644,14350,Computer Architecture for Machine Learning,41.0
2022,2,328644,11354,Database Systems Lab,58.0
2022,2,328644,11355,Operating Systems Lab,52.0
2022,2,328644,31311,Scientific Research Methods,60.0
2022,1,328644,31373,21st Century Skills,35.0
2022,1,328644,14466,Business Intelligence,35.0
2022,1,328644,14330,Artificial Intelligence,52.0
2022,1,328644,11335,Operating Systems,50.0
2022,1,328644,11323,Database Systems,65.0
2022,1,328644,20234,Linear Algebra,35.0
2021,3,328644,14465,Data Mining,58.0
2021,3,328644,11212,Data Structures and Introduction to Algorithms,57.0
2021,3,328644,14364,Data Visualization,66.0
2021,2,328644,12348,Multimedia Systems,77.0
2021,2,328644,14362,High Performance Computing for Big Data,64.0
2021,2,328644,11212,Data Structures and Introduction to Algorithms,37.0
2021,2,328644,11151,Structured ProgrammingLab,67.0
2021,2,328644,11253,Object Oriented Programming Lab,81.0
2021,1,328644,11253,Object Oriented Programming Lab,35.0
2021,1,328644,20234,Linear Algebra,43.0
2021,1,328644,14260,Data Engineering,50.0
2021,1,328644,14270,Statistics and  Probability for Data Science,55.0
2021,1,328644,14261,Data Engineering Lab,54.0
2021,1,328644,11206,Object Oriented Programming,50.0
2020,2,328644,11151,Structured ProgrammingLab,35.0
2020,2,328644,14140,Introduction to Data Science,69.0
2020,2,328644,20134,Discrete Mathematics (1),69.0
2020,2,328644,11103,Structured Programming,53.0
2020,1,328644,20233,Statistical Methods,56.0
2020,1,328644,31130,Foreign languages,81.0
2020,1,328644,11102,Introduction to Computer Science,62.0
2020,1,328644,20133,Calculus (2),68.0
2020,1,328644,20200,Technical Writing and Communication Skills,71.0
2022,2,329359,14351,Natural Language Processing,35.0
2022,2,329359,11313,Algorithms  Design and Analysis,37.0
2022,2,329359,14469,Special Topic In Data Science and AI (2),52.0
2022,2,329359,11449,Computer and Society,80.0
2022,2,329359,14452,Pattern Recognition,54.0
2022,1,329359,14465,Data Mining,57.0
2022,1,329359,11335,Operating Systems,60.0
2022,1,329359,13477,Software Engineering,50.0
2022,1,329359,31255,Entrepreneurship for Business,67.0
2022,1,329359,14466,Business Intelligence,35.0
2021,2,329359,11354,Database Systems Lab,78.0
2021,2,329359,14350,Computer Architecture for Machine Learning,55.0
2021,2,329359,11323,Database Systems,66.0
2021,2,329359,14270,Statistics and  Probability for Data Science,60.0
2021,2,329359,14357,Special Topic In Data Science and AI (1),90.0
2021,2,329359,14364,Data Visualization,66.0
2021,1,329359,31361,Introduction to  Philosophy,66.0
2021,1,329359,11335,Operating Systems,42.0
2021,1,329359,11355,Operating Systems Lab,57.0
2021,1,329359,14330,Artificial Intelligence,65.0
2021,1,329359,31311,Scientific Research Methods,60.0
2020,2,329359,20134,Discrete Mathematics (1),65.0
2020,2,329359,20233,Statistical Methods,65.0
2020,2,329359,14362,High Performance Computing for Big Data,66.0
2020,2,329359,11212,Data Structures and Introduction to Algorithms,35.0
2020,2,329359,20234,Linear Algebra,54.0
2020,1,329359,14260,Data Engineering,62.0
2020,1,329359,20200,Technical Writing and Communication Skills,83.0
2020,1,329359,20133,Calculus (2),58.0
2020,1,329359,11206,Object Oriented Programming,50.0
2020,1,329359,11253,Object Oriented Programming Lab,50.0
2020,1,329359,14261,Data Engineering Lab,64.0
2020,3,329359,31151,National Education,78.0
2020,3,329359,11212,Data Structures and Introduction to Algorithms,69.0
2020,3,329359,31271,Environmental Science,83.0
2019,2,329359,11151,Structured ProgrammingLab,70.0
2019,2,329359,11103,Structured Programming,58.0
2019,2,329359,20132,Calculus (1),69.0
2019,2,329359,14140,Introduction to Data Science,72.0
2019,2,329359,31130,Foreign languages,75.0
2019,1,329359,31121,English Language,87.0
2019,1,329359,31111,Arabic Language,50.0
2019,1,329359,20132,Calculus (1),35.0
2019,1,329359,11102,Introduction to Computer Science,50.0
2022,3,329524,14465,Data Mining,50.0
2022,3,329524,31255,Entrepreneurship for Business,61.0
2022,3,329524,20234,Linear Algebra,35.0
2022,2,329524,14350,Computer Architecture for Machine Learning,35.0
2022,2,329524,14362,High Performance Computing for Big Data,74.0
2022,2,329524,11313,Algorithms  Design and Analysis,42.0
2022,2,329524,12348,Multimedia Systems,63.0
2022,2,329524,20234,Linear Algebra,35.0
2022,2,329524,11436,Distributed Systems,39.0
2021,3,329524,31373,21st Century Skills,35.0
2021,3,329524,14351,Natural Language Processing,54.0
2021,3,329524,11335,Operating Systems,57.0
2022,1,329524,31255,Entrepreneurship for Business,38.0
2022,1,329524,14362,High Performance Computing for Big Data,37.0
2022,1,329524,31373,21st Century Skills,35.0
2022,1,329524,20133,Calculus (2),54.0
2022,1,329524,14261,Data Engineering Lab,53.0
2022,1,329524,11464,Information Systems Security,54.0
2022,1,329524,11355,Operating Systems Lab,50.0
2020,1,329524,31130,Foreign languages,60.0
2020,1,329524,11206,Object Oriented Programming,41.0
2020,1,329524,14260,Data Engineering,53.0
2020,1,329524,20200,Technical Writing and Communication Skills,56.0
2020,1,329524,20233,Statistical Methods,52.0
2020,1,329524,11253,Object Oriented Programming Lab,55.0
2020,1,329524,14261,Data Engineering Lab,42.0
2021,2,329524,14351,Natural Language Processing,35.0
2021,2,329524,20133,Calculus 2 (IT),35.0
2021,2,329524,12446,Digital Image Processing,35.0
2021,2,329524,14350,Computer Architecture for Machine Learning,35.0
2021,1,329524,11313,Algorithms  Design and Analysis,35.0
2021,1,329524,14330,Artificial Intelligence,57.0
2021,1,329524,11323,Database Systems,51.0
2021,1,329524,11354,Database Systems Lab,55.0
2021,1,329524,14261,Data Engineering Lab,35.0
2021,1,329524,14362,High Performance Computing for Big Data,40.0
2021,1,329524,11335,Operating Systems,35.0
2020,3,329524,20132,Calculus (1),62.0
2020,3,329524,11212,Data Structures and Introduction to Algorithms,52.0
2020,2,329524,31151,National Education,66.0
2020,2,329524,14270,Statistics and  Probability for Data Science,60.0
2020,2,329524,20134,Discrete Mathematics (1),66.0
2020,2,329524,14362,High Performance Computing for Big Data,35.0
2020,2,329524,11206,Object Oriented Programming,66.0
2019,2,329524,31121,English Language,79.0
2019,2,329524,14140,Introduction to Data Science,56.0
2019,2,329524,11151,Structured ProgrammingLab,62.0
2019,2,329524,11103,Structured Programming,65.0
2019,1,329524,31152,Arabic Islamic Civilization,82.0
2019,1,329524,31111,Arabic Language,86.0
2019,1,329524,20132,Calculus (1),35.0
2019,1,329524,11102,Introduction to Computer Science,50.0
2019,1,329524,31029,English Language (Remedial),50.0
2022,3,327643,14465,Data Mining,65.0
2022,3,327643,20234,Linear Algebra,35.0
2022,3,327643,14466,Business Intelligence,35.0
2022,1,327643,14270,Statistics and  Probability for Data Science,35.0
2022,1,327643,11464,Information Systems Security,50.0
2022,1,327643,14261,Data Engineering Lab,51.0
2022,1,327643,11313,Algorithms  Design and Analysis,60.0
2022,1,327643,14455,Information Retrieval,35.0
2022,1,327643,14364,Data Visualization,50.0
2022,2,327643,14270,Statistics and  Probability for Data Science,54.0
2022,2,327643,14350,Computer Architecture for Machine Learning,56.0
2022,2,327643,11435,Data Communications & Computer Networks,54.0
2022,2,327643,11436,Distributed Systems,65.0
2022,2,327643,11449,Computer and Society,79.0
2022,2,327643,14465,Data Mining,48.0
2021,3,327643,14364,Data Visualization,35.0
2021,3,327643,14465,Data Mining,43.0
2021,3,327643,14351,Natural Language Processing,50.0
2021,2,327643,14350,Computer Architecture for Machine Learning,45.0
2021,2,327643,31373,21st Century Skills,35.0
2021,2,327643,11355,Operating Systems Lab,55.0
2021,2,327643,11335,Operating Systems,52.0
2021,2,327643,14357,Special Topic In Data Science and AI (1),84.0
2021,2,327643,14362,High Performance Computing for Big Data,52.0
2021,1,327643,11323,Database Systems,56.0
2021,1,327643,11354,Database Systems Lab,56.0
2021,1,327643,14362,High Performance Computing for Big Data,40.0
2021,1,327643,20234,Linear Algebra,35.0
2021,1,327643,14330,Artificial Intelligence,60.0
2020,3,327643,31311,Scientific Research Methods,83.0
2020,3,327643,11212,Data Structures and Introduction to Algorithms,59.0
2020,2,327643,11206,Object Oriented Programming,72.0
2020,2,327643,20233,Statistical Methods,71.0
2020,2,327643,31130,Foreign languages,87.0
2020,2,327643,31152,Arabic Islamic Civilization,88.0
2020,2,327643,14260,Data Engineering,56.0
2020,1,327643,20200,Technical Writing and Communication Skills,73.0
2020,1,327643,14261,Data Engineering Lab,35.0
2020,1,327643,31264,Introduction To Psychology,81.0
2020,1,327643,11253,Object Oriented Programming Lab,53.0
2020,1,327643,11206,Object Oriented Programming,40.0
2020,1,327643,14260,Data Engineering,43.0
2019,2,327643,11151,Structured ProgrammingLab,56.0
2019,2,327643,31151,National Education,86.0
2019,2,327643,14140,Introduction to Data Science,56.0
2019,2,327643,20132,Calculus (1),88.0
2019,2,327643,11103,Structured Programming,50.0
2019,3,327643,20134,Discrete Mathematics (1),68.0
2019,3,327643,20133,Calculus (2),59.0
2019,1,327643,31111,Arabic Language,75.0
2019,1,327643,31121,English Language,87.0
2019,1,327643,11102,Introduction to Computer Science,50.0
2019,1,327643,20132,Calculus (1),35.0
2022,1,328633,11313,Algorithms  Design and Analysis,50.0
2022,1,328633,12348,Multimedia Systems,75.0
2022,1,328633,14452,Pattern Recognition,44.0
2022,1,328633,14467,Cloud Computing,57.0
2022,1,328633,12446,Digital Image Processing,70.0
2022,2,328633,11436,Distributed Systems,73.0
2022,2,328633,31255,Entrepreneurship for Business,90.0
2022,2,328633,14458,Computer Vision,64.0
2022,2,328633,11449,Computer and Society,78.0
2022,2,328633,20234,Linear Algebra,50.0
2022,2,328633,13477,Software Engineering,74.0
2021,3,328633,14351,Natural Language Processing,59.0
2021,3,328633,11464,Information Systems Security,50.0
2021,3,328633,20234,Linear Algebra,46.0
2021,1,328633,20234,Linear Algebra,35.0
2021,1,328633,11355,Operating Systems Lab,56.0
2021,1,328633,31311,Scientific Research Methods,71.0
2021,1,328633,11335,Operating Systems,50.0
2021,1,328633,14330,Artificial Intelligence,75.0
2021,1,328633,11313,Algorithms  Design and Analysis,35.0
2021,2,328633,11354,Database Systems Lab,81.0
2021,2,328633,31373,21st Century Skills,35.0
2021,2,328633,11323,Database Systems,64.0
2021,2,328633,14350,Computer Architecture for Machine Learning,60.0
2021,2,328633,14465,Data Mining,67.0
2021,2,328633,14364,Data Visualization,72.0
2020,3,328633,31161,Introduction to Library Science,70.0
2020,3,328633,11212,Data Structures and Introduction to Algorithms,55.0
2020,2,328633,20133,Calculus (2),55.0
2020,2,328633,31111,Arabic Language,51.0
2020,2,328633,14362,High Performance Computing for Big Data,70.0
2020,2,328633,11212,Data Structures and Introduction to Algorithms,35.0
2020,2,328633,14261,Data Engineering Lab,53.0
2020,1,328633,31111,Arabic Language,46.0
2020,1,328633,11212,Data Structures and Introduction to Algorithms,35.0
2020,1,328633,14270,Statistics and  Probability for Data Science,63.0
2020,1,328633,20133,Calculus (2),35.0
2020,1,328633,14260,Data Engineering,65.0
2019,2,328633,20132,Calculus (1),70.0
2019,2,328633,14140,Introduction to Data Science,80.0
2019,2,328633,11103,Structured Programming,90.0
2019,2,328633,11151,Structured ProgrammingLab,83.0
2019,2,328633,20233,Statistical Methods,81.0
2019,2,328633,31151,National Education,65.0
2019,3,328633,20134,Discrete Mathematics (1),74.0
2019,3,328633,11206,Object Oriented Programming,62.0
2019,3,328633,11253,Object Oriented Programming Lab,73.0
2019,1,328633,31019,Arabic Language(Remedial),55.0
2019,1,328633,20132,Calculus (1),35.0
2019,1,328633,31121,English Language,92.0
2019,1,328633,11102,Introduction to Computer Science,91.0
2022,3,329150,11206,Object Oriented Programming,35.0
2022,3,329150,14465,Data Mining,35.0
2021,3,329150,11206,Object Oriented Programming,37.0
2022,2,329150,11206,Object Oriented Programming,42.0
2022,2,329150,14469,Special Topic In Data Science and AI (2),64.0
2022,2,329150,14362,High Performance Computing for Big Data,50.0
2022,1,329150,11206,Object Oriented Programming,35.0
2022,1,329150,14362,High Performance Computing for Big Data,35.0
2021,2,329150,14456,Robotics Programming,61.0
2021,2,329150,11206,Object Oriented Programming,35.0
2021,2,329150,14357,Special Topic In Data Science and AI (1),82.0
2021,2,329150,14362,High Performance Computing for Big Data,35.0
2021,1,329150,14362,High Performance Computing for Big Data,35.0
2021,1,329150,11206,Object Oriented Programming,35.0
2021,1,329150,31373,21st Century Skills,35.0
2021,1,329150,14270,Statistics and  Probability for Data Science,51.0
2020,3,329150,11253,Object Oriented Programming Lab,79.0
2020,3,329150,14260,Data Engineering,65.0
2020,3,329150,14261,Data Engineering Lab,50.0
2020,3,329150,11206,Object Oriented Programming,35.0
2020,2,329150,14140,Introduction to Data Science,51.0
2020,2,329150,11151,Structured ProgrammingLab,84.0
2020,2,329150,11103,Structured Programming,65.0
2020,2,329150,20200,Technical Writing and Communication Skills,74.0
2020,2,329150,20233,Statistical Methods,83.0
2020,1,329150,20234,Linear Algebra,66.0
2020,1,329150,31271,Environmental Science,62.0
2020,1,329150,20134,Discrete Mathematics (1),76.0
2020,1,329150,31111,Arabic Language,70.0
2020,1,329150,11102,Introduction to Computer Science,60.0
2020,1,329150,31130,Foreign languages,76.0
2019,2,329150,31019,Arabic Language(Remedial),64.0
2019,2,329150,31161,Introduction to Library Science,56.0
2019,2,329150,20132,Calculus (1),67.0
2019,2,329150,31151,National Education,90.0
2019,3,329150,20133,Calculus (2),63.0
2019,3,329150,31121,English Language,89.0
2019,3,329150,31311,Scientific Research Methods,89.0
2019,1,329150,11102,Introduction to Computer Science,35.0
2019,1,329150,20132,Calculus (1),35.0
2019,1,329150,31029,English Language (Remedial),54.0
2022,3,326576,14351,Natural Language Processing,35.0
2022,3,326576,11354,Database Systems Lab,73.0
2022,2,326576,20234,Linear Algebra,35.0
2022,2,326576,14362,High Performance Computing for Big Data,50.0
2022,2,326576,11313,Algorithms  Design and Analysis,40.0
2022,2,326576,14330,Artificial Intelligence,51.0
2022,2,326576,11335,Operating Systems,35.0
2022,2,326576,11102,Introduction to Computer Science,61.0
2022,1,326576,14330,Artificial Intelligence,47.0
2022,1,326576,11354,Database Systems Lab,37.0
2022,1,326576,14362,High Performance Computing for Big Data,35.0
2022,1,326576,11323,Database Systems,50.0
2022,1,326576,20234,Linear Algebra,35.0
2022,1,326576,11335,Operating Systems,35.0
2022,1,326576,11355,Operating Systems Lab,38.0
2021,3,326576,11212,Data Structures and Introduction to Algorithms,55.0
2021,1,326576,11212,Data Structures and Introduction to Algorithms,39.0
2021,1,326576,31130,Foreign languages,77.0
2021,1,326576,14260,Data Engineering,43.0
2021,1,326576,14261,Data Engineering Lab,57.0
2021,1,326576,20134,Discrete Mathematics (1),39.0
2021,2,326576,11212,Data Structures and Introduction to Algorithms,42.0
2021,2,326576,20233,Statistical Methods IT,35.0
2021,2,326576,31311,Scientific Research Methods,50.0
2021,2,326576,14260,Data Engineering,52.0
2021,2,326576,20234,Linear Algebra,39.0
2020,3,326576,11212,Data Structures and Introduction to Algorithms,36.0
2020,2,326576,12348,Multimedia Systems,70.0
2020,2,326576,20200,Technical Writing and Communication Skills,85.0
2020,2,326576,20234,Linear Algebra,35.0
2020,2,326576,11151,Structured ProgrammingLab,58.0
2020,2,326576,14261,Data Engineering Lab,42.0
2020,2,326576,14260,Data Engineering,35.0
2020,2,326576,11212,Data Structures and Introduction to Algorithms,35.0
2020,1,326576,31111,Arabic Language,88.0
2020,1,326576,20133,Calculus (2),61.0
2020,1,326576,14260,Data Engineering,41.0
2020,1,326576,11212,Data Structures and Introduction to Algorithms,35.0
2020,1,326576,31152,Arabic Islamic Civilization,94.0
2020,1,326576,14261,Data Engineering Lab,35.0
2019,2,326576,11151,Structured ProgrammingLab,36.0
2019,2,326576,20132,Calculus (1),81.0
2019,2,326576,14140,Introduction to Data Science,67.0
2019,2,326576,11103,Structured Programming,50.0
2019,2,326576,31151,National Education,90.0
2019,3,326576,11253,Object Oriented Programming Lab,58.0
2019,3,326576,31352,Jerusalem : History and Facts,83.0
2019,3,326576,11206,Object Oriented Programming,55.0
2019,1,326576,20132,Calculus (1),35.0
2019,1,326576,11102,Introduction to Computer Science,52.0
2019,1,326576,31121,English Language,71.0
2019,1,326576,31019,Arabic Language(Remedial),56.0
2022,3,327049,11206,Object Oriented Programming,35.0
2022,3,327049,31130,Foreign Languages / German,35.0
2022,2,327049,11253,Object Oriented Programming Lab,35.0
2022,2,327049,14260,Data Engineering,35.0
2022,2,327049,31130,Foreign languages,35.0
2022,2,327049,14261,Data Engineering Lab,35.0
2022,2,327049,11206,Object Oriented Programming,35.0
2022,2,327049,14270,Statistics and  Probability for Data Science,35.0
2022,1,327049,14270,Statistics and  Probability for Data Science,35.0
2022,1,327049,11206,Object Oriented Programming,35.0
2022,1,327049,31311,Scientific Research Methods,38.0
2022,1,327049,14260,Data Engineering,35.0
2021,3,327049,11206,Object Oriented Programming,35.0
2021,2,327049,14270,Statistics and  Probability for Data Science,35.0
2021,2,327049,11253,Object Oriented Programming Lab,35.0
2021,2,327049,11206,Object Oriented Programming,35.0
2021,2,327049,11151,Structured ProgrammingLab,35.0
2021,2,327049,14260,Data Engineering,35.0
2021,2,327049,14261,Data Engineering Lab,35.0
2021,2,327049,31130,Foreign languages/ Spanish,35.0
2021,1,327049,20234,Linear Algebra,35.0
2021,1,327049,14260,Data Engineering,35.0
2021,1,327049,11206,Object Oriented Programming,35.0
2021,1,327049,31130,Foreign languages,48.0
2020,2,327049,14261,Data Engineering Lab,35.0
2020,2,327049,14260,Data Engineering,35.0
2020,2,327049,20233,Statistical Methods,67.0
2020,2,327049,11253,Object Oriented Programming Lab,35.0
2020,2,327049,20200,Technical Writing and Communication Skills,56.0
2020,2,327049,20234,Linear Algebra,46.0
2020,2,327049,11206,Object Oriented Programming,40.0
2020,1,327049,31152,Arabic Islamic Civilization,87.0
2020,1,327049,20133,Calculus (2),54.0
2020,1,327049,14140,Introduction to Data Science,50.0
2020,1,327049,20134,Discrete Mathematics (1),61.0
2020,1,327049,11151,Structured ProgrammingLab,39.0
2020,1,327049,11103,Structured Programming,73.0
2019,1,327049,20132,Calculus (1),35.0
2019,1,327049,31111,Arabic Language,51.0
2019,1,327049,31029,English Language (Remedial),51.0
2019,1,327049,11102,Introduction to Computer Science,40.0
2019,3,327049,11103,Structured Programming,35.0
2019,3,327049,31352,Jerusalem : History and Facts,50.0
2019,3,327049,11151,Structured ProgrammingLab,35.0
2019,2,327049,11102,Introduction to Computer Science,55.0
2019,2,327049,31151,National Education,50.0
2019,2,327049,20132,Calculus (1),52.0
2019,2,327049,31121,English Language,72.0
2022,2,327093,14350,Computer Architecture for Machine Learning,58.0
2022,2,327093,13477,Software Engineering,60.0
2022,2,327093,14351,Natural Language Processing,40.0
2022,2,327093,14466,Business Intelligence,45.0
2022,2,327093,11436,Distributed Systems,64.0
2021,3,327093,11212,Data Structures and Introduction to Algorithms,66.0
2021,1,327093,31373,21st Century Skills,35.0
2021,1,327093,14455,Information Retrieval,55.0
2021,1,327093,12348,Multimedia Systems,60.0
2021,1,327093,11212,Data Structures and Introduction to Algorithms,35.0
2021,1,327093,14362,High Performance Computing for Big Data,63.0
2022,1,327093,11354,Database Systems Lab,69.0
2022,1,327093,14330,Artificial Intelligence,74.0
2022,1,327093,14466,Business Intelligence,40.0
2022,1,327093,11449,Computer and Society,88.0
2022,1,327093,11323,Database Systems,70.0
2022,1,327093,11335,Operating Systems,52.0
2022,1,327093,11313,Algorithms  Design and Analysis,50.0
2022,1,327093,11355,Operating Systems Lab,62.0
2021,2,327093,14364,Data Visualization,68.0
2021,2,327093,14465,Data Mining,68.0
2021,2,327093,14357,Special Topic In Data Science and AI (1),97.0
2021,2,327093,14456,Robotics Programming,78.0
2021,2,327093,11212,Data Structures and Introduction to Algorithms,41.0
2020,2,327093,11206,Object Oriented Programming,59.0
2020,2,327093,31130,Foreign languages,77.0
2020,2,327093,20234,Linear Algebra,68.0
2020,2,327093,20134,Discrete Mathematics (1),79.0
2020,2,327093,14270,Statistics and  Probability for Data Science,75.0
2020,3,327093,31311,Scientific Research Methods,78.0
2020,3,327093,11212,Data Structures and Introduction to Algorithms,38.0
2020,1,327093,20233,Statistical Methods,86.0
2020,1,327093,31351,Contemporary Issues in the Arab  World,96.0
2020,1,327093,14260,Data Engineering,66.0
2020,1,327093,14261,Data Engineering Lab,53.0
2020,1,327093,11206,Object Oriented Programming,39.0
2020,1,327093,11253,Object Oriented Programming Lab,50.0
2019,3,327093,31352,Jerusalem : History and Facts,63.0
2019,3,327093,20200,Technical Writing and Communication Skills,86.0
2019,3,327093,20133,Calculus (2),75.0
2019,2,327093,11103,Structured Programming,58.0
2019,2,327093,11151,Structured ProgrammingLab,80.0
2019,2,327093,31111,Arabic Language,75.0
2019,2,327093,20132,Calculus (1),79.0
2019,2,327093,31151,National Education,79.0
2019,2,327093,14140,Introduction to Data Science,74.0
2019,1,327093,31019,Arabic Language(Remedial),72.0
2019,1,327093,31121,English Language,80.0
2019,1,327093,20132,Calculus (1),35.0
2019,1,327093,11102,Introduction to Computer Science,65.0
2022,2,334254,11313,Algorithms  Design and Analysis,50.0
2022,2,334254,12446,Digital Image Processing,62.0
2022,2,334254,14469,Special Topic In Data Science and AI (2),81.0
2022,2,334254,14466,Business Intelligence,50.0
2022,2,334254,13477,Software Engineering,62.0
2022,3,334254,11435,Data Communications & Computer Networks,81.0
2022,3,334254,14351,Natural Language Processing,53.0
2022,3,334254,20234,Linear Algebra,60.0
2022,1,334254,14455,Information Retrieval,35.0
2022,1,334254,14452,Pattern Recognition,54.0
2022,1,334254,11449,Computer and Society,85.0
2022,1,334254,11436,Distributed Systems,70.0
2022,1,334254,14467,Cloud Computing,69.0
2022,1,334254,14466,Business Intelligence,35.0
2021,3,334254,20234,Linear Algebra,35.0
2021,3,334254,11102,Introduction to Computer Science,88.0
2021,3,334254,11464,Information Systems Security,60.0
2021,2,334254,14350,Computer Architecture for Machine Learning,51.0
2021,2,334254,31130,Foreign languages/ German,73.0
2021,2,334254,11313,Algorithms  Design and Analysis,35.0
2021,2,334254,11354,Database Systems Lab,70.0
2021,2,334254,11323,Database Systems,68.0
2021,2,334254,20200,Technical Writing and Communication Skills,83.0
2021,1,334254,31255,Entrepreneurship for Business,80.0
2021,1,334254,11335,Operating Systems,50.0
2021,1,334254,14364,Data Visualization,62.0
2021,1,334254,14465,Data Mining,60.0
2021,1,334254,11355,Operating Systems Lab,64.0
2021,1,334254,14330,Artificial Intelligence,70.0
2019,2,334254,31121,English Language,80.0
2019,2,334254,14140,Introduction to Data Science,61.0
2019,2,334254,20133,Calculus (2),62.0
2019,2,334254,31311,Scientific Research Methods,71.0
2019,2,334254,20233,Statistical Methods,60.0
2020,3,334254,11151,Structured ProgrammingLab,66.0
2020,3,334254,11212,Data Structures and Introduction to Algorithms,61.0
2020,3,334254,14261,Data Engineering Lab,81.0
2020,1,334254,11103,Structured Programming,62.0
2020,1,334254,14261,Data Engineering Lab,35.0
